title,url
1001 Jokes,http://lanlibrary.local/library/Memes/1001Jokes.pdf
Bee Movie Script,http://lanlibrary.local/library/Memes/BeeMovieScript.pdf
Edum,http://lanlibrary.local/library/Memes/Edum.pdf
Gnome meme,http://lanlibrary.local/library/Memes/GnomeMeme1.jpg
Gnome meme,http://lanlibrary.local/library/Memes/GnomeMeme2.jpg
Scam Slammer,http://lanlibrary.local/library/Memes/SCAMSLAMMER.mp4
